branch_id,branch_name,address,complaint_text,complaint_date,resolve_date,employee_experience,staff_count,daily_customers,service_windows,atm_count,training_hours,monthly_income,new_staff_count,competitor_count
101,市中心支行,北京市朝阳区建国路100号,ATM机又坏了，这周第三次了,2023-03-31,2023-04-03,4.06,17,370,5,5,30,10734,2,3
102,西区支行,上海市徐汇区淮海中路200号,转账手续费太高，没有提前告知,2023-02-10,2023-02-12,1.45,15,187,7,5,49,13322,2,1
103,东湖支行,武汉市武昌区东湖路50号,ATM机又坏了，这周第三次了,2023-05-02,2023-05-04,9.71,16,393,4,5,30,6184,4,2
104,高新支行,深圳市南山区科技园路88号,系统故障导致转账失败，资金被冻结,2023-06-26,2023-06-27,5.49,16,444,3,4,37,7747,4,3
105,北站支行,广州市天河区天河路300号,排队时间太长，等了1个多小时还没轮到,2023-02-18,2023-02-19,4.83,19,150,6,4,12,8556,3,3
106,南湖支行,杭州市西湖区南山路120号,柜员态度很差，办理业务时一直不耐烦,2023-04-10,2023-04-15,2.12,11,373,6,2,23,13433,2,1
107,大学城支行,南京市鼓楼区汉口路22号,ATM机又坏了，这周第三次了,2023-01-07,2023-01-12,0.65,6,439,6,4,16,15748,4,3
108,开发区支行,天津市滨海新区泰达大道66号,理财产品收益与承诺不符,2023-06-22,2023-06-27,2.15,5,149,6,3,15,15805,2,4
109,机场支行,成都市双流区机场路500号,理财产品收益与承诺不符,2023-05-07,2023-05-12,2.26,19,317,6,3,19,15173,4,2
110,港口支行,青岛市黄岛区港口路88号,柜员态度很差，办理业务时一直不耐烦,2023-06-13,2023-06-17,7.41,19,314,6,2,49,12892,4,1
101,市中心支行,北京市朝阳区建国路100号,排队时间太长，等了1个多小时还没轮到,2023-04-17,2023-04-19,3.08,9,379,4,2,38,7062,1,1
102,西区支行,上海市徐汇区淮海中路200号,排队时间太长，等了1个多小时还没轮到,2023-05-15,2023-05-17,0.65,13,443,3,5,17,14687,3,3
103,东湖支行,武汉市武昌区东湖路50号,理财产品收益与承诺不符,2023-06-25,2023-06-26,2.39,12,262,5,2,14,8561,3,2
104,高新支行,深圳市南山区科技园路88号,柜员态度很差，办理业务时一直不耐烦,2023-02-20,2023-02-22,1.6,11,300,6,3,42,12215,3,3
105,北站支行,广州市天河区天河路300号,信用卡年费收取后拒绝退还,2023-01-13,2023-01-17,6.85,9,198,6,5,31,13154,3,1
106,南湖支行,杭州市西湖区南山路120号,转账手续费太高，没有提前告知,2023-04-22,2023-04-26,4.14,19,230,3,2,35,5502,3,2
107,大学城支行,南京市鼓楼区汉口路22号,系统故障导致转账失败，资金被冻结,2023-05-27,2023-06-01,5.19,13,306,4,3,22,12858,3,4
108,开发区支行,天津市滨海新区泰达大道66号,ATM机又坏了，这周第三次了,2023-06-09,2023-06-12,6.55,8,195,6,3,46,12574,3,1
109,机场支行,成都市双流区机场路500号,理财产品收益与承诺不符,2023-02-04,2023-02-06,5.63,17,135,7,5,16,14914,3,2
110,港口支行,青岛市黄岛区港口路88号,转账手续费太高，没有提前告知,2023-06-09,2023-06-11,8.86,14,144,3,2,15,18083,4,4
101,市中心支行,北京市朝阳区建国路100号,转账手续费太高，没有提前告知,2023-03-19,2023-03-20,2.27,18,430,4,4,37,10592,3,2
102,西区支行,上海市徐汇区淮海中路200号,信用卡年费收取后拒绝退还,2023-02-22,2023-02-25,1.55,13,382,3,5,22,10864,3,3
103,东湖支行,武汉市武昌区东湖路50号,柜员态度很差，办理业务时一直不耐烦,2023-02-14,2023-02-19,2.06,15,236,7,2,33,6998,3,2
104,高新支行,深圳市南山区科技园路88号,ATM机又坏了，这周第三次了,2023-02-13,2023-02-17,2.58,12,332,6,2,21,8581,3,2
105,北站支行,广州市天河区天河路300号,信用卡年费收取后拒绝退还,2023-06-19,2023-06-20,7.27,9,212,3,4,11,9737,4,2
106,南湖支行,杭州市西湖区南山路120号,转账手续费太高，没有提前告知,2023-06-11,2023-06-15,0.81,5,484,5,3,11,10172,4,2
107,大学城支行,南京市鼓楼区汉口路22号,新员工业务不熟，办个业务花了40分钟,2023-02-21,2023-02-22,9.86,11,423,5,5,26,13958,2,4
108,开发区支行,天津市滨海新区泰达大道66号,信用卡年费收取后拒绝退还,2023-02-19,2023-02-22,4.97,6,297,5,4,25,13800,1,4
109,机场支行,成都市双流区机场路500号,ATM机又坏了，这周第三次了,2023-05-31,2023-06-01,5.33,17,358,6,5,45,11546,2,3
110,港口支行,青岛市黄岛区港口路88号,ATM机又坏了，这周第三次了,2023-05-10,2023-05-12,8.19,8,451,6,2,42,6959,4,3
101,市中心支行,北京市朝阳区建国路100号,ATM机又坏了，这周第三次了,2023-02-11,2023-02-14,9.4,5,366,6,2,34,19257,3,3
102,西区支行,上海市徐汇区淮海中路200号,转账手续费太高，没有提前告知,2023-03-19,2023-03-24,8.83,7,362,6,5,35,13815,1,4
103,东湖支行,武汉市武昌区东湖路50号,窗口太少，中午只有2个窗口开放,2023-04-24,2023-04-25,5.53,6,484,6,2,46,18471,3,3
104,高新支行,深圳市南山区科技园路88号,新员工业务不熟，办个业务花了40分钟,2023-01-06,2023-01-08,3.72,7,246,5,5,33,11197,4,1
105,北站支行,广州市天河区天河路300号,理财产品收益与承诺不符,2023-05-13,2023-05-17,6.6,15,212,6,3,49,17115,2,3
106,南湖支行,杭州市西湖区南山路120号,窗口太少，中午只有2个窗口开放,2023-02-13,2023-02-17,4.04,13,198,3,2,27,19207,2,2
107,大学城支行,南京市鼓楼区汉口路22号,柜员态度很差，办理业务时一直不耐烦,2023-03-01,2023-03-05,5.11,7,307,7,2,45,13352,4,1
108,开发区支行,天津市滨海新区泰达大道66号,VIP客户插队，普通客户等待时间过长,2023-02-07,2023-02-10,5.19,8,483,5,2,42,15927,4,3
109,机场支行,成都市双流区机场路500号,转账手续费太高，没有提前告知,2023-03-28,2023-03-31,3.99,11,121,7,4,17,8354,3,2
110,港口支行,青岛市黄岛区港口路88号,柜员态度很差，办理业务时一直不耐烦,2023-02-19,2023-02-24,3.83,5,383,3,2,28,12683,3,4
101,市中心支行,北京市朝阳区建国路100号,窗口太少，中午只有2个窗口开放,2023-01-25,2023-01-30,6.63,5,271,6,3,38,6069,1,2
102,西区支行,上海市徐汇区淮海中路200号,转账手续费太高，没有提前告知,2023-05-20,2023-05-23,4.02,13,136,7,2,40,8170,4,1
103,东湖支行,武汉市武昌区东湖路50号,系统故障导致转账失败，资金被冻结,2023-03-10,2023-03-11,1.22,17,260,5,5,27,6816,2,3
104,高新支行,深圳市南山区科技园路88号,系统故障导致转账失败，资金被冻结,2023-03-20,2023-03-24,8.52,7,459,4,5,31,6686,2,3
105,北站支行,广州市天河区天河路300号,柜员态度很差，办理业务时一直不耐烦,2023-06-13,2023-06-15,5.42,6,372,3,2,48,10596,2,3
106,南湖支行,杭州市西湖区南山路120号,信用卡年费收取后拒绝退还,2023-04-16,2023-04-20,4.49,6,112,6,3,16,12992,4,1
107,大学城支行,南京市鼓楼区汉口路22号,VIP客户插队，普通客户等待时间过长,2023-01-04,2023-01-05,2.35,12,499,6,4,32,14358,4,2
108,开发区支行,天津市滨海新区泰达大道66号,窗口太少，中午只有2个窗口开放,2023-05-04,2023-05-05,1.39,11,441,5,2,31,11457,2,2
109,机场支行,成都市双流区机场路500号,VIP客户插队，普通客户等待时间过长,2023-05-12,2023-05-14,2.88,14,425,5,5,46,19599,1,4
110,港口支行,青岛市黄岛区港口路88号,ATM机又坏了，这周第三次了,2023-02-05,2023-02-06,2.55,9,202,6,3,41,12027,2,3
101,市中心支行,北京市朝阳区建国路100号,系统故障导致转账失败，资金被冻结,2023-05-13,2023-05-17,7.15,12,407,7,3,39,14874,1,4
102,西区支行,上海市徐汇区淮海中路200号,排队时间太长，等了1个多小时还没轮到,2023-06-08,2023-06-09,3.07,16,157,4,2,35,13308,2,3
103,东湖支行,武汉市武昌区东湖路50号,系统故障导致转账失败，资金被冻结,2023-02-01,2023-02-06,4.57,16,228,4,3,10,16041,4,2
104,高新支行,深圳市南山区科技园路88号,VIP客户插队，普通客户等待时间过长,2023-04-14,2023-04-17,1.39,13,336,7,2,25,18500,3,4
105,北站支行,广州市天河区天河路300号,信用卡年费收取后拒绝退还,2023-04-13,2023-04-15,5.77,10,448,5,5,35,6679,3,1
106,南湖支行,杭州市西湖区南山路120号,新员工业务不熟，办个业务花了40分钟,2023-06-05,2023-06-08,1.64,17,319,7,4,39,19061,2,4
107,大学城支行,南京市鼓楼区汉口路22号,排队时间太长，等了1个多小时还没轮到,2023-06-15,2023-06-16,2.17,14,440,6,2,39,9452,3,2
108,开发区支行,天津市滨海新区泰达大道66号,系统故障导致转账失败，资金被冻结,2023-03-01,2023-03-03,6.35,9,199,4,5,40,11905,3,2
109,机场支行,成都市双流区机场路500号,理财产品收益与承诺不符,2023-06-13,2023-06-18,5.26,12,424,7,5,25,7839,4,3
110,港口支行,青岛市黄岛区港口路88号,柜员态度很差，办理业务时一直不耐烦,2023-02-21,2023-02-23,9.47,16,483,5,5,33,15123,2,3
101,市中心支行,北京市朝阳区建国路100号,转账手续费太高，没有提前告知,2023-05-13,2023-05-18,6.61,5,278,5,2,21,13002,1,1
102,西区支行,上海市徐汇区淮海中路200号,系统故障导致转账失败，资金被冻结,2023-05-13,2023-05-14,6.69,15,143,7,2,21,10726,2,2
103,东湖支行,武汉市武昌区东湖路50号,理财产品收益与承诺不符,2023-04-08,2023-04-13,0.87,6,134,3,3,17,11748,2,2
104,高新支行,深圳市南山区科技园路88号,系统故障导致转账失败，资金被冻结,2023-04-19,2023-04-22,0.72,6,214,3,4,13,5825,1,2
105,北站支行,广州市天河区天河路300号,新员工业务不熟，办个业务花了40分钟,2023-04-22,2023-04-27,6.47,17,475,6,2,30,12164,1,4
106,南湖支行,杭州市西湖区南山路120号,柜员态度很差，办理业务时一直不耐烦,2023-03-21,2023-03-22,2.19,13,291,5,2,44,9079,4,2
107,大学城支行,南京市鼓楼区汉口路22号,窗口太少，中午只有2个窗口开放,2023-01-13,2023-01-15,2.88,12,250,7,5,22,15518,1,3
108,开发区支行,天津市滨海新区泰达大道66号,排队时间太长，等了1个多小时还没轮到,2023-03-15,2023-03-18,1.48,5,468,6,5,34,6365,1,3
109,机场支行,成都市双流区机场路500号,转账手续费太高，没有提前告知,2023-04-30,2023-05-05,1.45,8,495,7,2,28,9171,1,3
110,港口支行,青岛市黄岛区港口路88号,ATM机又坏了，这周第三次了,2023-03-05,2023-03-07,9.59,19,483,6,4,25,9980,1,3
101,市中心支行,北京市朝阳区建国路100号,窗口太少，中午只有2个窗口开放,2023-04-17,2023-04-18,6.22,8,478,7,5,32,6167,1,3
102,西区支行,上海市徐汇区淮海中路200号,柜员态度很差，办理业务时一直不耐烦,2023-04-09,2023-04-14,1.37,14,285,4,2,44,10334,1,3
103,东湖支行,武汉市武昌区东湖路50号,系统故障导致转账失败，资金被冻结,2023-04-24,2023-04-26,7.21,19,175,3,3,26,16516,2,3
104,高新支行,深圳市南山区科技园路88号,柜员态度很差，办理业务时一直不耐烦,2023-02-13,2023-02-15,4.55,12,269,3,3,36,7681,2,1
105,北站支行,广州市天河区天河路300号,VIP客户插队，普通客户等待时间过长,2023-01-11,2023-01-15,5.38,10,438,7,2,31,13691,1,3
106,南湖支行,杭州市西湖区南山路120号,窗口太少，中午只有2个窗口开放,2023-05-19,2023-05-20,9.12,17,231,6,3,40,6810,1,4
107,大学城支行,南京市鼓楼区汉口路22号,转账手续费太高，没有提前告知,2023-01-21,2023-01-23,5.8,15,301,4,4,48,16714,1,1
108,开发区支行,天津市滨海新区泰达大道66号,柜员态度很差，办理业务时一直不耐烦,2023-05-21,2023-05-24,4.35,18,157,6,5,17,18116,3,1
109,机场支行,成都市双流区机场路500号,新员工业务不熟，办个业务花了40分钟,2023-05-30,2023-06-01,7.57,7,447,3,4,34,5823,1,2
110,港口支行,青岛市黄岛区港口路88号,理财产品收益与承诺不符,2023-05-27,2023-05-28,4.65,14,143,7,5,30,9175,2,1
101,市中心支行,北京市朝阳区建国路100号,ATM机又坏了，这周第三次了,2023-03-12,2023-03-14,9.93,9,263,5,4,29,16704,2,3
102,西区支行,上海市徐汇区淮海中路200号,转账手续费太高，没有提前告知,2023-06-21,2023-06-23,6.48,18,242,3,2,12,7703,3,1
103,东湖支行,武汉市武昌区东湖路50号,理财产品收益与承诺不符,2023-06-05,2023-06-10,9.19,14,323,6,5,37,9468,4,2
104,高新支行,深圳市南山区科技园路88号,理财产品收益与承诺不符,2023-04-05,2023-04-06,2.29,14,235,4,5,37,15971,1,1
105,北站支行,广州市天河区天河路300号,窗口太少，中午只有2个窗口开放,2023-04-08,2023-04-13,2.97,15,244,3,2,29,15700,4,4
106,南湖支行,杭州市西湖区南山路120号,柜员态度很差，办理业务时一直不耐烦,2023-02-25,2023-02-27,2.04,18,134,7,3,27,12026,4,1
107,大学城支行,南京市鼓楼区汉口路22号,转账手续费太高，没有提前告知,2023-06-03,2023-06-07,6.33,6,109,4,4,14,6015,1,2
108,开发区支行,天津市滨海新区泰达大道66号,新员工业务不熟，办个业务花了40分钟,2023-04-16,2023-04-21,8.2,19,276,5,2,35,9158,1,2
109,机场支行,成都市双流区机场路500号,转账手续费太高，没有提前告知,2023-05-01,2023-05-06,8.38,5,197,3,4,10,5404,4,3
110,港口支行,青岛市黄岛区港口路88号,柜员态度很差，办理业务时一直不耐烦,2023-03-22,2023-03-26,8.71,5,296,7,3,12,6460,3,1
101,市中心支行,北京市朝阳区建国路100号,ATM机又坏了，这周第三次了,2023-05-06,2023-05-08,7.4,14,182,3,2,23,11600,2,1
102,西区支行,上海市徐汇区淮海中路200号,转账手续费太高，没有提前告知,2023-05-06,2023-05-11,9.56,17,359,3,2,49,15015,2,4
103,东湖支行,武汉市武昌区东湖路50号,新员工业务不熟，办个业务花了40分钟,2023-06-26,2023-07-01,3.05,11,253,4,3,12,17154,2,4
104,高新支行,深圳市南山区科技园路88号,理财产品收益与承诺不符,2023-01-27,2023-01-31,8.26,16,488,5,2,26,9719,3,3
105,北站支行,广州市天河区天河路300号,VIP客户插队，普通客户等待时间过长,2023-04-11,2023-04-15,4.5,9,440,4,4,48,18051,2,2
106,南湖支行,杭州市西湖区南山路120号,VIP客户插队，普通客户等待时间过长,2023-06-02,2023-06-05,6.28,6,385,5,4,43,6331,1,2
107,大学城支行,南京市鼓楼区汉口路22号,转账手续费太高，没有提前告知,2023-01-31,2023-02-04,4.78,19,129,4,4,26,7180,1,4
108,开发区支行,天津市滨海新区泰达大道66号,信用卡年费收取后拒绝退还,2023-04-25,2023-04-27,4.86,5,429,3,5,29,16223,1,2
109,机场支行,成都市双流区机场路500号,系统故障导致转账失败，资金被冻结,2023-06-21,2023-06-25,6.4,6,304,5,4,20,6906,3,1
110,港口支行,青岛市黄岛区港口路88号,排队时间太长，等了1个多小时还没轮到,2023-06-14,2023-06-15,4.87,19,473,6,5,13,14911,1,3
101,市中心支行,北京市朝阳区建国路100号,ATM机又坏了，这周第三次了,2023-01-02,2023-01-06,8.81,15,192,4,2,28,12956,1,2
102,西区支行,上海市徐汇区淮海中路200号,系统故障导致转账失败，资金被冻结,2023-06-01,2023-06-05,3.15,17,121,7,3,10,19980,1,4
103,东湖支行,武汉市武昌区东湖路50号,信用卡年费收取后拒绝退还,2023-05-01,2023-05-03,2.46,6,177,4,2,36,12240,2,1
104,高新支行,深圳市南山区科技园路88号,柜员态度很差，办理业务时一直不耐烦,2023-03-20,2023-03-24,5.07,10,338,5,4,26,18337,4,1
105,北站支行,广州市天河区天河路300号,VIP客户插队，普通客户等待时间过长,2023-03-05,2023-03-08,1.3,7,352,6,4,31,13717,2,4
106,南湖支行,杭州市西湖区南山路120号,转账手续费太高，没有提前告知,2023-01-23,2023-01-28,4.0,12,485,7,3,23,18623,3,3
107,大学城支行,南京市鼓楼区汉口路22号,VIP客户插队，普通客户等待时间过长,2023-03-02,2023-03-04,7.03,11,337,5,4,27,12673,2,3
108,开发区支行,天津市滨海新区泰达大道66号,ATM机又坏了，这周第三次了,2023-03-06,2023-03-09,4.27,13,218,7,5,19,6062,1,1
109,机场支行,成都市双流区机场路500号,信用卡年费收取后拒绝退还,2023-02-08,2023-02-09,2.51,14,225,6,2,26,8596,4,1
110,港口支行,青岛市黄岛区港口路88号,ATM机又坏了，这周第三次了,2023-01-07,2023-01-10,6.95,7,332,7,3,45,9206,2,2
101,市中心支行,北京市朝阳区建国路100号,新员工业务不熟，办个业务花了40分钟,2023-04-27,2023-04-30,5.8,12,468,6,4,46,18829,4,2
102,西区支行,上海市徐汇区淮海中路200号,信用卡年费收取后拒绝退还,2023-06-18,2023-06-23,6.27,15,414,7,3,46,16640,1,1
103,东湖支行,武汉市武昌区东湖路50号,系统故障导致转账失败，资金被冻结,2023-04-30,2023-05-04,1.47,10,169,6,3,20,8517,2,2
104,高新支行,深圳市南山区科技园路88号,信用卡年费收取后拒绝退还,2023-05-12,2023-05-14,2.15,11,236,5,4,40,6063,1,4
105,北站支行,广州市天河区天河路300号,排队时间太长，等了1个多小时还没轮到,2023-06-28,2023-06-30,9.97,10,421,6,5,20,13195,3,2
106,南湖支行,杭州市西湖区南山路120号,转账手续费太高，没有提前告知,2023-05-02,2023-05-03,9.76,18,161,3,3,24,15954,4,2
107,大学城支行,南京市鼓楼区汉口路22号,信用卡年费收取后拒绝退还,2023-05-21,2023-05-23,3.16,16,232,4,3,13,15002,4,1
108,开发区支行,天津市滨海新区泰达大道66号,柜员态度很差，办理业务时一直不耐烦,2023-06-20,2023-06-25,7.49,16,146,3,3,23,17607,2,1
109,机场支行,成都市双流区机场路500号,排队时间太长，等了1个多小时还没轮到,2023-04-18,2023-04-21,5.31,19,455,7,4,12,8744,2,2
110,港口支行,青岛市黄岛区港口路88号,信用卡年费收取后拒绝退还,2023-03-21,2023-03-24,4.82,9,237,6,3,22,10287,2,4
101,市中心支行,北京市朝阳区建国路100号,VIP客户插队，普通客户等待时间过长,2023-05-12,2023-05-17,2.92,9,428,3,2,20,16150,4,2
102,西区支行,上海市徐汇区淮海中路200号,新员工业务不熟，办个业务花了40分钟,2023-04-28,2023-05-03,4.41,18,194,3,2,23,6908,4,3
103,东湖支行,武汉市武昌区东湖路50号,理财产品收益与承诺不符,2023-03-05,2023-03-08,9.41,16,134,3,5,31,16835,4,1
104,高新支行,深圳市南山区科技园路88号,系统故障导致转账失败，资金被冻结,2023-03-11,2023-03-12,1.83,13,328,6,3,44,9820,1,1
105,北站支行,广州市天河区天河路300号,柜员态度很差，办理业务时一直不耐烦,2023-03-04,2023-03-07,2.74,18,161,6,2,34,15641,4,4
106,南湖支行,杭州市西湖区南山路120号,理财产品收益与承诺不符,2023-04-07,2023-04-08,4.67,18,387,5,2,47,10984,3,3
107,大学城支行,南京市鼓楼区汉口路22号,柜员态度很差，办理业务时一直不耐烦,2023-02-19,2023-02-24,5.28,13,244,3,4,11,6997,1,4
108,开发区支行,天津市滨海新区泰达大道66号,信用卡年费收取后拒绝退还,2023-01-04,2023-01-06,2.68,11,297,5,4,17,19889,4,4
109,机场支行,成都市双流区机场路500号,新员工业务不熟，办个业务花了40分钟,2023-05-12,2023-05-17,8.04,17,388,6,3,48,5922,4,1
110,港口支行,青岛市黄岛区港口路88号,VIP客户插队，普通客户等待时间过长,2023-05-11,2023-05-12,1.94,5,388,6,3,11,9612,3,2
101,市中心支行,北京市朝阳区建国路100号,排队时间太长，等了1个多小时还没轮到,2023-03-07,2023-03-08,3.75,10,496,6,2,33,12863,3,1
102,西区支行,上海市徐汇区淮海中路200号,VIP客户插队，普通客户等待时间过长,2023-04-20,2023-04-23,5.63,17,146,6,5,11,5094,3,3
103,东湖支行,武汉市武昌区东湖路50号,系统故障导致转账失败，资金被冻结,2023-03-28,2023-03-30,5.87,14,398,5,2,29,17298,2,2
104,高新支行,深圳市南山区科技园路88号,理财产品收益与承诺不符,2023-04-22,2023-04-26,3.75,10,299,4,3,21,15457,1,4
105,北站支行,广州市天河区天河路300号,理财产品收益与承诺不符,2023-05-17,2023-05-20,5.31,13,210,6,4,21,12147,4,4
106,南湖支行,杭州市西湖区南山路120号,排队时间太长，等了1个多小时还没轮到,2023-01-15,2023-01-16,7.12,12,392,4,2,37,16641,1,2
107,大学城支行,南京市鼓楼区汉口路22号,柜员态度很差，办理业务时一直不耐烦,2023-03-11,2023-03-16,1.23,18,395,3,3,20,18718,1,2
108,开发区支行,天津市滨海新区泰达大道66号,转账手续费太高，没有提前告知,2023-03-18,2023-03-23,2.74,14,209,6,3,32,7872,1,3
109,机场支行,成都市双流区机场路500号,窗口太少，中午只有2个窗口开放,2023-03-23,2023-03-24,3.46,7,498,7,4,18,14524,1,2
110,港口支行,青岛市黄岛区港口路88号,ATM机又坏了，这周第三次了,2023-05-24,2023-05-29,8.13,9,253,3,4,34,6625,3,2
101,市中心支行,北京市朝阳区建国路100号,ATM机又坏了，这周第三次了,2023-04-07,2023-04-09,3.79,6,446,3,5,33,17312,3,4
102,西区支行,上海市徐汇区淮海中路200号,转账手续费太高，没有提前告知,2023-01-17,2023-01-22,4.48,12,260,3,2,31,7713,4,2
103,东湖支行,武汉市武昌区东湖路50号,信用卡年费收取后拒绝退还,2023-01-12,2023-01-14,6.8,11,436,6,2,29,8701,2,4
104,高新支行,深圳市南山区科技园路88号,理财产品收益与承诺不符,2023-05-26,2023-05-30,5.58,12,148,3,5,22,14181,3,3
105,北站支行,广州市天河区天河路300号,柜员态度很差，办理业务时一直不耐烦,2023-06-25,2023-06-26,2.49,7,417,7,2,38,13477,4,4
106,南湖支行,杭州市西湖区南山路120号,ATM机又坏了，这周第三次了,2023-05-31,2023-06-03,6.08,5,177,5,4,11,11645,4,1
107,大学城支行,南京市鼓楼区汉口路22号,窗口太少，中午只有2个窗口开放,2023-03-11,2023-03-14,4.31,10,418,6,2,17,17342,3,3
108,开发区支行,天津市滨海新区泰达大道66号,VIP客户插队，普通客户等待时间过长,2023-06-01,2023-06-02,4.05,14,465,4,5,42,19422,3,4
109,机场支行,成都市双流区机场路500号,理财产品收益与承诺不符,2023-06-09,2023-06-13,8.48,11,448,3,2,12,19295,3,3
110,港口支行,青岛市黄岛区港口路88号,新员工业务不熟，办个业务花了40分钟,2023-04-14,2023-04-16,5.3,12,153,3,4,46,11722,3,1
101,市中心支行,北京市朝阳区建国路100号,理财产品收益与承诺不符,2023-03-24,2023-03-28,5.79,12,390,5,5,13,10619,1,2
102,西区支行,上海市徐汇区淮海中路200号,窗口太少，中午只有2个窗口开放,2023-02-06,2023-02-09,2.45,19,410,4,4,19,13966,1,3
103,东湖支行,武汉市武昌区东湖路50号,信用卡年费收取后拒绝退还,2023-06-04,2023-06-06,8.56,17,135,7,5,27,13705,1,3
104,高新支行,深圳市南山区科技园路88号,柜员态度很差，办理业务时一直不耐烦,2023-01-28,2023-01-29,6.44,15,333,4,4,32,16382,4,4
105,北站支行,广州市天河区天河路300号,VIP客户插队，普通客户等待时间过长,2023-06-28,2023-07-03,6.43,10,355,3,3,44,10619,2,2
106,南湖支行,杭州市西湖区南山路120号,柜员态度很差，办理业务时一直不耐烦,2023-05-06,2023-05-09,7.91,5,301,5,3,32,9223,4,1
107,大学城支行,南京市鼓楼区汉口路22号,新员工业务不熟，办个业务花了40分钟,2023-03-15,2023-03-19,5.11,5,113,3,5,11,13428,1,3
108,开发区支行,天津市滨海新区泰达大道66号,窗口太少，中午只有2个窗口开放,2023-01-09,2023-01-14,2.57,10,334,6,3,38,16372,2,3
109,机场支行,成都市双流区机场路500号,新员工业务不熟，办个业务花了40分钟,2023-01-12,2023-01-13,6.99,10,245,7,3,45,13232,2,2
110,港口支行,青岛市黄岛区港口路88号,柜员态度很差，办理业务时一直不耐烦,2023-01-20,2023-01-22,5.76,13,477,6,4,31,17244,3,1
101,市中心支行,北京市朝阳区建国路100号,转账手续费太高，没有提前告知,2023-06-18,2023-06-22,3.03,15,267,4,5,16,16145,1,1
102,西区支行,上海市徐汇区淮海中路200号,排队时间太长，等了1个多小时还没轮到,2023-02-17,2023-02-20,4.48,16,289,4,3,11,8067,2,3
103,东湖支行,武汉市武昌区东湖路50号,柜员态度很差，办理业务时一直不耐烦,2023-01-08,2023-01-13,2.25,9,391,5,3,38,13340,3,4
104,高新支行,深圳市南山区科技园路88号,ATM机又坏了，这周第三次了,2023-05-31,2023-06-04,4.65,8,212,5,4,49,14442,2,2
105,北站支行,广州市天河区天河路300号,排队时间太长，等了1个多小时还没轮到,2023-05-06,2023-05-08,4.27,12,345,7,5,42,14977,4,3
